username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,elo_gain,elo_loss,elo_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_elo_gain,tourn_elo_loss,tourn_elo_ratio,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_elo_gain,non_tourn_elo_loss,non_tourn_elo_ratio,elo_ratio_gap,short_win_rate,timeout_win_ratio,tourn_win_rate,non_tourn_win_rate,wr_gap,nt_self_bail_loss_ratio,t_self_bail_loss_ratio,suspicion_score,reasons
co_vua_chien_luoc,32,19,7,6,5.429598,6.127926,0.886042,32,19,7,6,5.429598,6.127926,0.886042,0,0,0,0,0.000000,0.000000,0.000000,0.886042,0.052632,0.631579,0.760000,0.000000,0.760000,0.000000,1.000000,0.00,
cristiancirivello,11,5,1,5,3.472658,1.339653,2.592207,0,0,0,0,0.000000,0.000000,0.000000,11,5,1,5,3.472658,1.339653,2.592207,-2.592207,0.000000,0.400000,0.000000,0.500000,-0.500000,0.600000,0.000000,0.00,
crossmappers,5,5,0,0,1.173008,0.000000,1173007638.171085,2,2,0,0,0.820956,0.000000,820956186.021643,3,3,0,0,0.352051,0.000000,352051452.149442,468904733.872201,0.400000,0.600000,1.000000,1.000000,0.000000,0.000000,0.000000,0.00,
cursedmangekyo,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
damsarad,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
dankfulbutbetter,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
david10jp,7,5,0,2,0.989704,0.826524,1.197430,0,0,0,0,0.000000,0.000000,0.000000,7,5,0,2,0.989704,0.826524,1.197430,-1.197430,0.200000,0.400000,0.000000,0.714286,-0.714286,0.000000,0.000000,0.00,
debelka,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
devraj_plays,5,3,0,2,1.074027,1.790588,0.599818,2,0,0,2,0.000000,1.790588,0.000000,3,3,0,0,1.074027,0.000000,1074027238.710575,-1074027238.710575,0.333333,0.000000,0.000000,1.000000,-1.000000,0.000000,0.500000,0.00,
dragonerl-123,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
edenopia,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
ek70r,1,1,0,0,0.389598,0.000000,389597577.905311,0,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,0.389598,0.000000,389597577.905311,-389597577.905311,1.000000,0.000000,0.000000,1.000000,-1.000000,0.000000,0.000000,0.00,
ekd4,1,0,1,0,0.000000,0.218757,0.000000,0,0,0,0,0.000000,0.000000,0.000000,1,0,1,0,0.000000,0.218757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
elisabeth1208,15,12,0,3,4.806665,1.457412,3.298082,2,2,0,0,0.918409,0.000000,918409463.223469,13,10,0,3,3.888256,1.457412,2.667917,918409460.555551,0.083333,0.833333,1.000000,0.769231,0.230769,0.666667,0.000000,0.00,
emaxt,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
fanny-hyperion,2,0,0,2,0.000000,0.174930,0.000000,0,0,0,0,0.000000,0.000000,0.000000,2,0,0,2,0.000000,0.174930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
ffilandr,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
firstover10,12,3,1,8,0.980696,4.088122,0.239889,8,2,0,6,0.726519,2.990302,0.242958,4,1,1,2,0.254177,1.097821,0.231529,0.011430,0.000000,0.333333,0.250000,0.333333,-0.083333,0.500000,0.333333,0.00,
gazzi_gazzi_prime,64,0,0,64,0.000000,19.391489,0.000000,43,0,0,43,0.000000,12.443895,0.000000,21,0,0,21,0.000000,6.947594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
