username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,elo_gain,elo_loss,elo_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_elo_gain,tourn_elo_loss,tourn_elo_ratio,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_elo_gain,non_tourn_elo_loss,non_tourn_elo_ratio,elo_ratio_gap,short_win_rate,timeout_win_ratio,tourn_win_rate,non_tourn_win_rate,wr_gap,suspicion_score,reasons
ultrakingpanda,4,2,0,2,1.058871,0.026122,40.535246,0,0,0,0,0.000000,0.000000,0.000000,4,2,0,2,1.058871,0.026122,40.535246,-40.535246,0.500000,0.000000,0.000000,0.500000,-0.500000,0.00,
yingjunguan,8,5,0,3,1.757411,1.336759,1.314680,7,4,0,3,1.414530,1.336759,1.058178,1,1,0,0,0.342881,0.000000,342881313.512921,-342881312.454743,0.000000,0.800000,0.571429,1.000000,-0.428571,0.00,
young_obee,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
yuriy_leonidov,4,4,0,0,1.020891,0.000000,1020891176.233242,0,0,0,0,0.000000,0.000000,0.000000,4,4,0,0,1.020891,0.000000,1020891176.233242,-1020891176.233242,0.000000,0.750000,0.000000,1.000000,-1.000000,0.00,
1-mezwinna-1,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
1germanythailand,9,4,0,5,2.032202,1.102750,1.842849,1,0,0,1,0.000000,0.214973,0.000000,8,4,0,4,2.032202,0.887777,2.289091,-2.289091,0.250000,0.000000,0.000000,0.500000,-0.500000,0.00,
alpbilginsoyy,4,2,0,2,1.178551,0.821449,1.434723,4,2,0,2,1.178551,0.821449,1.434723,0,0,0,0,0.000000,0.000000,0.000000,1.434723,0.000000,0.500000,0.500000,0.000000,0.500000,0.00,
amin_musayev_66,6,2,0,4,0.454434,0.671288,0.676958,2,2,0,0,0.454434,0.000000,454434057.060346,4,0,0,4,0.000000,0.671288,0.000000,454434057.060346,0.000000,0.000000,1.000000,0.000000,1.000000,0.00,
andy_w_aa,5,0,0,5,0.000000,1.790150,0.000000,4,0,0,4,0.000000,1.378440,0.000000,1,0,0,1,0.000000,0.411710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
astonmartin_lancestroll,24,9,0,15,3.871458,6.729724,0.575277,17,5,0,12,1.725460,6.319949,0.273018,7,4,0,3,2.145998,0.409775,5.237017,-4.963999,0.444444,0.444444,0.294118,0.571429,-0.277311,0.00,
