username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,lifetime_win_rate,recent_games,recent_wins,recent_draws,recent_losses,recent_win_rate,active_win_streak,max_win_streak,upset_wins,short_win_rate,timeout_win_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_win_rate,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_win_rate,wr_gap,suspicion_score,reasons
bravenam,11,7,1,3,0.7,11,7,1,3,0.7,1,3,0,0,0.7143,3,2,1,0,1,8,5,0,3,0.625,0.375,0,
bready_panda,11,5,1,5,0.5,11,5,1,5,0.5,0,6,0,0,0.8,2,2,0,0,1,9,3,1,5,0.375,0.625,0,
brother-of-magnus,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,
checker_tk,17,7,0,10,0.4118,17,7,0,10,0.4118,0,4,0,0.4286,0.1429,14,6,0,8,0.4286,3,1,0,2,0.3333,0.0952,0,
chessamateur9988,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,
cristiancirivello,11,5,1,5,0.5,11,5,1,5,0.5,3,3,0,0,0.4,0,0,0,0,0,11,5,1,5,0.5,-0.5,0,
crossmappers,5,5,0,0,1,5,5,0,0,1,5,5,0,0.4,0.6,2,2,0,0,1,3,3,0,0,1,0,0,
cursedmangekyo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
damsarad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
dankfulbutbetter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
david10jp,7,5,0,2,0.7143,7,5,0,2,0.7143,1,4,0,0.2,0.4,0,0,0,0,0,7,5,0,2,0.7143,-0.7143,0,
debelka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
devraj_plays,5,3,0,2,0.6,5,3,0,2,0.6,2,2,0,0.3333,0,2,0,0,2,0,3,3,0,0,1,-1,0,
dmgetz40,32,14,0,18,0.4375,32,14,0,18,0.4375,0,3,0,0.2143,0.2143,12,4,0,8,0.3333,20,10,0,10,0.5,-0.1667,0,
dragonerl-123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
dzastusdart,14,5,3,6,0.4545,14,5,3,6,0.4545,2,3,0,0,0.8,10,4,3,3,0.5714,4,1,0,3,0.25,0.3214,0,
edenopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ek70r,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,-1,0,
ekd4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
elandt14,78,32,2,44,0.4211,78,32,2,44,0.4211,0,6,2,0.1875,0.4688,5,0,0,5,0,73,32,2,39,0.4507,-0.4507,0,
emaxt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
fanny-hyperion,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,
ffilandr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
gibon112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
gm_afeef,21,1,0,20,0.0476,21,1,0,20,0.0476,0,1,0,0,0,19,1,0,18,0.0526,2,0,0,2,0,0.0526,0,
guruizda,64,29,1,34,0.4603,64,29,1,34,0.4603,0,5,1,0.1724,0.4483,64,29,1,34,0.4603,0,0,0,0,0,0.4603,0,
hazenblazen,2,1,1,0,1,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,2,1,1,0,1,-1,0,
hetman-za-free,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hoangduckminh,7,4,0,3,0.5714,7,4,0,3,0.5714,1,3,2,0.25,0.5,0,0,0,0,0,7,4,0,3,0.5714,-0.5714,0,
huragantesco,13,4,0,9,0.3077,13,4,0,9,0.3077,0,2,1,0,0.25,0,0,0,0,0,13,4,0,9,0.3077,-0.3077,0,
insurgentspirit,68,26,22,20,0.5652,68,26,22,20,0.5652,0,9,0,0.0769,0.4615,63,25,19,19,0.5682,5,1,3,1,0.5,0.0682,0,
johnbassily83,1,1,0,0,1,1,1,0,0,1,0,7,0,0,1,0,0,0,0,0,1,1,0,0,1,-1,0,
joinallclab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
junuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
